pickup_community_area,fare,trip_start_month,trip_start_hour,trip_start_day,trip_start_timestamp,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,trip_miles,pickup_census_tract,dropoff_census_tract,payment_type,company,trip_seconds,dropoff_community_area,tips,Cash,Credit Card,Dispute,No Charge,Pcard,Unknown,Prcard
,12.45,5,19,6,1400269500,,,,,0.0,,,Credit Card,Chicago Elite Cab Corp. (Chicago Carriag,0.0,,0.0,0.11527176126240318,0.3509966823604087,0.20535601736198475,0.008344516210664678,0.14279800449119015,0.08627567479407407,0.09095734351927452
,0.0,3,19,5,1362683700,,,,,0.0,,,Unknown,Chicago Elite Cab Corp.,300.0,,0.0,0.16239976786351354,0.17832242721856179,0.21134006549135184,0.010400623268835195,0.13298828476300956,0.09341247994634007,0.21113635144838813
60.0,27.05,10,2,3,1380593700,41.836150155,-87.648787952,,,12.6,,,Cash,Taxi Affiliation Services,1380.0,,0.0,0.14561465794263664,0.34816494785845903,0.03568390870597181,0.06061513153649575,0.08636006027852546,0.15297326194937516,0.1705880317285362
10.0,5.85,10,1,2,1382319000,41.985015101,-87.804532006,,,0.0,,,Cash,Taxi Affiliation Services,180.0,,0.0,0.17712190914438464,0.32596014705261583,0.03817635431034021,0.010643936798830418,0.1444596059915829,0.0600905840439631,0.24354746265828295
14.0,16.65,5,7,5,1369897200,41.968069,-87.721559063,,,0.0,,,Cash,Dispatch Taxi Affiliation,1080.0,,0.0,0.14058051933535448,0.18841567347209984,0.09029463574234867,0.052227333571084056,0.17650624084510821,0.11414834749157293,0.2378272495424321
13.0,16.45,11,12,3,1446554700,41.983636307,-87.723583185,,,6.9,,,Cash,,780.0,,0.0,0.2974038930456785,0.23590656407249544,0.04536165047320882,0.10797667906468505,0.030646514846472087,0.21385168318054065,0.06885301531691931
16.0,32.05,12,1,1,1417916700,41.953582125,-87.72345239,,,15.4,,,Cash,,1200.0,,0.0,0.2081475698915365,0.18828781729750507,0.07524983141449539,0.19895043047026736,0.13731783800882771,0.10643474513100569,0.08561176778636198
30.0,38.45,10,10,5,1444301100,41.839086906,-87.714003807,,,14.6,,,Cash,,2580.0,,0.0,0.1966757261103721,0.20097043475007012,0.00890200752654894,0.01932538951338748,0.1107213532982678,0.08421449675447854,0.37919059204687483
11.0,14.65,1,1,3,1358213400,41.978829526,-87.771166703,,,5.81,,,Cash,,1080.0,,0.0,0.18533874283212828,0.355182489586237,0.0334483665241408,0.057207248064565765,0.0671224207231682,0.2127225300012622,0.08897820226849784
33.0,3.25,5,17,1,1368985500,41.849246754,-87.624135298,,,0.0,,,Cash,Taxi Affiliation Services,0.0,,0.0,0.25310521451507634,0.23103128195488426,0.037692394100055225,0.007154365782062793,0.1689009174001131,0.15520750296392,0.14690832328388836
19.0,47.65,6,15,4,1372258800,41.927260956,-87.765501609,,,0.0,,,Cash,Taxi Affiliation Services,3480.0,,0.0,0.17210534994943075,0.235779463267429,0.02942043360044434,0.07150184071329362,0.06175766909243765,0.2288877554772828,0.20054748789968183
25.0,6.85,3,9,6,1426239900,41.890608853,-87.756046711,,,2.0,,,Cash,,420.0,,0.0,0.12438842338216181,0.18351616952162836,0.0944343106994714,0.01349726802559371,0.2046887525485892,0.16660956170017993,0.21286551412237556
13.0,14.45,6,7,1,1403421300,41.983636307,-87.723583185,,,5.3,,,Cash,,1020.0,,0.0,0.2176852933327417,0.19293415776237954,0.12184079540435543,0.11165068809817452,0.1731464898831953,0.1397637565198708,0.042978818999282666
33.0,9.85,6,11,6,1371812400,41.849246754,-87.624135298,,,2.81,,,Credit Card,,840.0,,3.0,0.1448051349332037,0.17109343005456265,0.2221673532735609,0.025656988978663673,0.1782171919862839,0.1637788363551965,0.09428106441852849
25.0,3.05,2,6,2,1360565100,41.890608853,-87.756046711,,,0.4,,,Cash,,120.0,,0.0,0.22605033238437086,0.30287011534423,0.14366793432020544,0.11761930894263746,0.0731280312819194,0.05410246082855236,0.08256181689808456
18.0,20.85,12,17,4,1386782100,41.929297368,-87.798032181,,,6.3,,,Cash,,2100.0,,0.0,0.23057385926344465,0.35996989564098236,0.061330316184487234,0.07008406859608884,0.05397767398137175,0.15408247824861152,0.06998170808501356
8.0,8.05,10,18,7,1382208300,41.907412816,-87.640901525,,,1.63,,,Cash,,840.0,,0.0,0.10738852975989528,0.10546057841517503,0.07521712380942323,0.07585102087399753,0.30511899196482,0.23978977070095575,0.0911739844757332
32.0,6.85,4,13,6,1397222100,41.87101588,-87.631406525,,,2.1,,,Cash,Taxi Affiliation Services,240.0,,0.0,0.21201588077850728,0.3428425619420436,0.11755207028623356,0.0038810272433835603,0.19202794140253612,0.03836553726440846,0.09331498108288756
2.0,0.0,11,0,7,1448669700,42.001571027,-87.695012589,,,0.0,,,Cash,Blue Ribbon Taxi Association Inc.,0.0,,0.0,0.22651141810983796,0.2838319860548914,0.060566422392695426,0.02300108843461516,0.251212688494035,0.06054043090024918,0.0943359656136759
3.0,12.25,8,19,5,1375384500,41.958154876,-87.653021789,,,4.51,,,Cash,,600.0,,0.0,0.13960836865466203,0.16488627712449336,0.1591130462044385,0.010853143343783749,0.11051609280469259,0.12482489469227721,0.29019817717565244
33.0,3.25,5,17,1,1368983700,41.849246754,-87.624135298,,,0.0,,,Cash,Taxi Affiliation Services,0.0,,0.0,0.0985114345955491,0.26800166593322516,0.020060002728250044,0.11436377829052936,0.2553236018938059,0.1928322852349914,0.050907231323649035
14.0,8.85,4,19,7,1367091000,41.968069,-87.721559063,,,2.72,,,Cash,,540.0,,0.0,0.1742235705274391,0.3152352913837804,0.03604007156689001,0.004501104489154012,0.052620955039398024,0.11367488511157557,0.303704121881763
7.0,5.85,2,0,7,1360972800,41.921778356,-87.641459759,,,1.26,,,Cash,,300.0,,0.0,0.1291347858292623,0.26749404040521807,0.11704516205807178,0.16763362197618356,0.04422043984594188,0.16326075432036344,0.11121119556495894
8.0,7.25,1,20,7,1357416900,41.904935302,-87.649907226,,,1.62,,,Cash,,540.0,,0.0,0.029825625596155536,0.34357697175103874,0.04095963114016267,0.003114141247736118,0.13981385360575116,0.21418497438489978,0.22852480227425612
33.0,10.65,4,19,7,1367091000,41.849246754,-87.624135298,,,3.28,,,Cash,,840.0,,0.0,0.15936380271803846,0.4286654280894802,0.048235674134036996,0.017215347243339927,0.12088658307134188,0.15504056748879455,0.070592597254968
33.0,46.85,3,1,1,1393723800,41.857183858,-87.620334624,,,22.9,,,Cash,Northwest Management LLC,3180.0,,0.0,0.20884539316980444,0.3828227028120145,0.0166996309649192,0.00546547386334686,0.07885490628871224,0.1626844598836862,0.14462743301751654
33.0,34.45,11,19,6,1385148600,41.857183858,-87.620334624,,,0.0,,,Cash,Taxi Affiliation Services,2640.0,,0.0,0.15837120506584448,0.22793334439971902,0.1430190728914608,0.006590907946326297,0.16083918725634322,0.16950389681190478,0.1337423856284015
33.0,23.85,1,2,2,1357524000,41.857183858,-87.620334624,,,10.5,,,Cash,,1200.0,,0.0,0.4226359515818396,0.24712585803644666,0.03697779897093395,0.006702029438155408,0.036812618274711446,0.2283179034924787,0.021427840205434284
6.0,12.25,10,1,1,1476579600,41.952822916,-87.653243992,41.920451512,-87.679954768,3.5,,17031832200.0,Credit Card,,900.0,22.0,3.0,0.26562906948230547,0.15931945436438696,0.12072639214844784,0.11596882019322761,0.07641842252825568,0.09164008093107215,0.17029776035230432
24.0,3.85,3,15,6,1427469300,41.89967018,-87.669837798,41.920451512,-87.679954768,0.23,,17031832200.0,Cash,,120.0,22.0,0.0,0.17639137514717973,0.26706559154335935,0.07082737591888139,0.16228163160456313,0.15353456546198493,0.1082811662312863,0.06161829409274533
24.0,6.05,8,23,5,1439509500,41.906025969,-87.675311622,41.920451512,-87.679954768,1.1,,17031832200.0,Cash,Taxi Affiliation Services,360.0,22.0,0.0,0.19313585178686568,0.2928954030174834,0.0935957033912953,0.013205042363407492,0.24841614262639433,0.03719777306342557,0.12155408375112829
24.0,7.25,10,21,7,1412458200,41.906650766,-87.66533766,41.920451512,-87.679954768,1.7,,17031832200.0,Credit Card,,480.0,22.0,2.0,0.2856846785921578,0.1471054563021107,0.07515883791498654,0.15457051764091545,0.0847277928426161,0.10765068231405477,0.14510203439315858
32.0,7.85,11,11,2,1383562800,41.87101588,-87.631406525,41.849246754,-87.624135298,1.8,,17031841000.0,Cash,,540.0,33.0,0.0,0.1853605390202295,0.13128447213013683,0.11916402471195098,0.03793469218374875,0.17380833982510338,0.14060889279125396,0.21183903933757672
